bookId,title,author,Year,Price$
509,10-Day Green Smoothie Cleanse,JJ Smith,2016,8
374,11/22/63: A Novel,Stephen King,2011,22
309,12 Rules for Life: An Antidote to Chaos,Jordan B. Peterson,2018,15
345,1984 (Signet Classics),George Orwell,2017,6
439,"5,000 Awesome Facts (About Everything!) (National Geographic Kids)",National Geographic Kids,2019,12
204,A Dance with Dragons (A Song of Ice and Fire),George R. R. Martin,2011,11
496,A Game of Thrones / A Clash of Kings / A Storm of Swords / A Feast of Crows / A Dance with Dragons,George R. R. Martin,2014,30
352,A Gentleman in Moscow: A Novel,Amor Towles,2017,15
464,"A Higher Loyalty: Truth, Lies, and Leadership",James Comey,2018,3
68,A Man Called Ove: A Novel,Fredrik Backman,2016,8
475,A Man Called Ove: A Novel,Fredrik Backman,2017,8
8,A Patriot's History of the United States: From Columbus's Great Discovery to the War on Terror,Larry Schweikart,2010,2
158,A Stolen Life: A Memoir,Jaycee Dugard,2011,32
141,A Wrinkle in Time (Time Quintet),Madeleine L'Engle,2018,5
119,"Act Like a Lady, Think Like a Man: What Men Really Think About Love, Relationships, Intimacy, and Commitment",Steve Harvey,2009,17
81,"Adult Coloring Book Designs: Stress Relief Coloring Book: Garden Designs, Mandalas, Animals, and Paisley Patterns",Adult Coloring Book Designs,2016,4
295,Adult Coloring Book: Stress Relieving Animal Designs,Blue Star Coloring,2015,6
219,Adult Coloring Book: Stress Relieving Patterns,Blue Star Coloring,2015,6
493,"Adult Coloring Books: A Coloring Book for Adults Featuring Mandalas and Henna Inspired Flowers, Animals, and Paisley",Coloring Books for Adults,2015,8
441,Alexander Hamilton,Ron Chernow,2016,13
280,All the Light We Cannot See,Anthony Doerr,2014,14
502,All the Light We Cannot See,Anthony Doerr,2015,14
413,Allegiant,Veronica Roth,2013,13
401,American Sniper: The Autobiography of the Most Lethal Sniper in U.S. Military History,Chris Kyle,2015,9
343,And the Mountains Echoed,Khaled Hosseini,2013,13
57,Arguing with Idiots: How to Stop Small Minds and Big Government,Glenn Beck,2009,5
82,Astrophysics for People in a Hurry,Neil deGrasse Tyson,2017,9
480,"Autobiography of Mark Twain, Vol. 1",Mark Twain,2010,14
123,Baby Touch and Feel: Animals,DK,2015,5
49,Balance (Angie's Extreme Stress Menders),Angie Grace,2015,11
385,Barefoot Contessa Foolproof: Recipes You Can Trust: A Cookbook,Ina Garten,2012,24
349,"Barefoot Contessa, How Easy Is That?: Fabulous Recipes & Easy Tips",Ina Garten,2010,21
443,Becoming,Michelle Obama,2018,11
337,Becoming,Michelle Obama,2019,11
531,Being Mortal: Medicine and What Matters in the End,Atul Gawande,2015,15
524,Between the World and Me,Ta-Nehisi Coates,2015,13
61,Between the World and Me,Ta-Nehisi Coates,2016,13
264,Born to Run,Bruce Springsteen,2016,18
157,"Breaking Dawn (The Twilight Saga, Book 4)",Stephenie Meyer,2009,13
36,"Broke: The Plan to Restore Our Trust, Truth and Treasure",Glenn Beck,2010,8
528,"Brown Bear, Brown Bear, What Do You See?",Bill Martin Jr.,2017,5
21,"Brown Bear, Brown Bear, What Do You See?",Bill Martin Jr.,2019,5
194,"Cabin Fever (Diary of a Wimpy Kid, Book 6)",Jeff Kinney,2011,0
504,Calm the F*ck Down: An Irreverent Adult Coloring Book (Irreverent Book Series),Sasha O'Hara,2016,4
65,Can't Hurt Me: Master Your Mind and Defy the Odds,David Goggins,2019,18
396,Capital in the Twenty First Century,Thomas Piketty,2014,28
294,Catching Fire (The Hunger Games),Suzanne Collins,2010,11
449,Catching Fire (The Hunger Games),Suzanne Collins,2011,11
105,Catching Fire (The Hunger Games),Suzanne Collins,2012,11
370,Cravings: Recipes for All the Food You Want to Eat: A Cookbook,Chrissy Teigen,2016,16
519,Crazy Love: Overwhelmed by a Relentless God,Francis Chan,2009,14
88,Crazy Love: Overwhelmed by a Relentless God,Francis Chan,2010,14
468,Crazy Love: Overwhelmed by a Relentless God,Francis Chan,2011,14
226,Crazy Rich Asians (Crazy Rich Asians Trilogy),Kevin Kwan,2018,8
59,Creative Haven Creative Cats Coloring Book (Adult Coloring),Marjorie Sarnat,2015,4
